Outlet,Brand,Products Name,Volume/Weight,Satchet/Units,Price in RM
LOTUS,DONGA,DONGA LEMON DEMISODA 250ML,0.25,1,2.99
LOTUS,DONGA,DONGA GRAPE DEMISODA 250ML,0.25,1,2.99
LOTUS,DONGA,DONGA PEACH DEMISODA 250ML,0.25,1,2.99
LOTUS,DRINHO,DRINHO ICE PEACH TEA 250ML X 6,0.25,6,4.9
LOTUS,DRINHO,DRINHO CHRYSANTHEMUM TEA 1L,1,1,2.69
LOTUS,DRINHO,DRINHO SOYA BEAN 1L,1,1,2.69
LOTUS,DRINHO,DRINHO WINTER MELON 1L,1,1,2.69
LOTUS,DRINHO,DRINHO LYCHEE 1L,1,1,2.69
LOTUS,DRINHO,DRINHO SOYA MILK CORN 1L,1,1,3.25
LOTUS,DRINHO,DRINHO MANGO DRINK 250MLX6,0.25,6,4.9
LOTUS,DRINHO,DRINHO SOYA BEAN 250MLX6,0.25,6,4.9
LOTUS,DRINHO,DRINHO SUGARCANE 250MLX6,0.25,6,4.9
LOTUS,DRINHO,DRINHO CHRYSANTHEMUM TEA 250MLX6,0.25,6,4.9
LOTUS,DRINHO,DRINHO WINTER MELON 250MLX6,0.25,6,4.9
LOTUS,DRINHO,DRINHO ORANGE 250MLX6,0.25,6,4.9
LOTUS,DRINHO,DRINHO LYCHEE 250MLX6,0.25,6,4.9
LOTUS,DRINHO,DRINHO CORN SOYA MILK 250MLX6,0.25,6,6.09
LOTUS,DUTCH LADY,DUTCH LADY UHT MILKY MARVEL FULL CREAM 125MLX4,0.125,4,4.99
LOTUS,DUTCH LADY,DUTCH LADY UHT MILKY FROZEN STRAWBERRY 125MLX4,0.125,4,4.99
LOTUS,DUTCH LADY,DUTCH LADY UHT MILKY FROZEN STRAWBERRY 125MLX4,0.125,4,4.99
LOTUS,DUTCH LADY,DUTCH LADY UHT MILK MARVEL CHOCOLATE 125MLX8,0.125,8,8.9
LOTUS,DUTCH LADY,DUTCH LADY UHT MILKY FROZEN CHOCOLATE TRIPLE PACK 125MLX8,0.125,8,8.9
LOTUS,DUTCH LADY,D/LADY UHT COOKIES CREAM 180MLX4,0.18,4,6.45
LOTUS,DUTCH LADY,D/LADY UHT VANILLA ICE CREAM 180MLX4,0.18,4,6.45
LOTUS,DUTCH LADY,DUTCH LADY UHT STRAWBERRY MILK 1L,1,1,5.89
LOTUS,DUTCH LADY,DUTCH LADY UHT CHOCOLATE MILK 1L,1,1,5.89
